"Freq [MHz]","dB(S(can_1,can_1)) []","dB(S(can_2,can_2)) []","dB(S(can_3,can_3)) []","dB(S(can_4,can_4)) []","dB(S(can_5,can_5)) []","dB(S(can_6,can_6)) []"
866.222222222222,-1.8692431245475,-2.39495587366726,-2.38733699547794,-1.82935077506481,-2.06496319452549,-2.21385868318788
866.444444444444,-1.8907973897891,-2.42737511305368,-2.41906533933845,-1.88011417762833,-2.1304298025089,-2.28187873944938
866.666666666667,-1.91160975448378,-2.45951581731691,-2.45053468811844,-1.93486842615638,-2.20339359651958,-2.35805041822119
866.888888888889,-1.93143354799969,-2.49148643340345,-2.48185614487977,-1.99279403249308,-2.28251754431061,-2.44102486631551
867.111111111111,-1.95015979773896,-2.52342470094349,-2.5131687580459,-2.05275164114103,-2.36572951923135,-2.52867133834796
867.333333333333,-1.968082283284,-2.55548464816941,-2.54462697156249,-2.11340306156232,-2.45047972941795,-2.61835255336608
867.555555555556,-1.98616750361006,-2.58782357914089,-2.57638782704076,-2.17338170329284,-2.53413070497683,-2.70733658439047
867.777777777778,-2.00592721923044,-2.62059086185341,-2.60859972551803,-2.2314690378183,-2.614360304105,-2.79321657324351
868,-2.02862914836825,-2.65391958957982,-2.64139390334786,-2.28673147693433,-2.68945567523976,-2.87421190566471
868.222222222222,-2.05448956426359,-2.68792140903247,-2.67487902712545,-2.33858899111845,-2.75843269872577,-2.94928718676791
868.444444444444,-2.08274813008326,-2.72268420138401,-2.70913868892944,-2.38681257369492,-2.82099064948764,-3.01810335812787
868.666666666667,-2.11237289472551,-2.7582719540611,-2.74423119948414,-2.43146869307069,-2.87736208710111,-3.08086451222601
868.888888888889,-2.14257905513073,-2.79472605501763,-2.78019094034131,-2.47283752374948,-2.92812780549975,-3.13813136448505
869.111111111111,-2.17293510565206,-2.83206730397729,-2.81703058900437,-2.51132889031876,-2.97404816038964,-3.19065219675004
869.333333333333,-2.20326817215725,-2.8702980856576,-2.85474369742329,-2.54741115786135,-3.0159356139245,-3.23923523122961
869.555555555556,-2.23354997195888,-2.90940432655794,-2.8933073232196,-2.5815592843275,-3.05457251868158,-3.28466589708556
869.777777777778,-2.26382018770766,-2.94935702656532,-2.93268465043112,-2.61422186363579,-3.09066693545735,-3.3276616385183
870,-2.29414523729112,-2.99011331355496,-2.97282778430504,-2.64580373184526,-3.12483576414355,-3.36885363718264
870.222222222222,-2.32459891111101,-3.03161712994043,-3.0136811695643,-2.67665980522286,-3.15760527046264,-3.40878568001571
870.444444444444,-2.35525443124574,-3.07379986089529,-3.05518636691289,-2.70709622973749,-3.18942152174388,-3.44792278437097
870.666666666667,-2.38618191875432,-3.11658150985217,-3.09728919731765,-2.73737584288533,-3.22066579095582,-3.48666465655517
870.888888888889,-2.41744820421632,-3.15987348923861,-3.13995041320783,-2.76772591418692,-3.25167203702334,-3.52536103370506
871.111111111111,-2.44911752250035,-3.20358479095549,-3.18316081767635,-2.79834693551908,-3.2827450020423,-3.56432733784611
871.333333333333,-2.48125243382265,-3.24763422380739,-3.22696068119966,-2.82942182530925,-3.31417836471762,-3.60385994145942
871.555555555556,-2.51391469417962,-3.29197227909936,-3.27146089456537,-2.86112530900569,-3.34627287837611,-3.64425083512299
871.777777777778,-2.54716597397933,-3.33661608362762,-3.31685947948056,-2.89363347669605,-3.37935459700889,-3.68580170864602
872,-2.58106840340109,-3.38169774373881,-3.36344317352615,-2.92713362036663,-3.41379319716921,-3.72883747708528
872.222222222222,-2.61568496013268,-3.42751707476804,-3.41156323534074,-2.9618344122046,-3.45002002353427,-3.77371913148927
872.444444444444,-2.65107973564399,-3.47457289681585,-3.4615815628731,-2.99797625053515,-3.48854475688346,-3.82085546593553
872.666666666667,-2.68731813308369,-3.52353052370551,-3.51379797528887,-3.03584105445862,-3.52996842922212,-3.87071269627599
872.888888888889,-2.72446707055098,-3.57509001748694,-3.56838401424302,-3.07575972419045,-3.57498881499861,-3.92382019992647
873.111111111111,-2.76259529311872,-3.62977369859232,-3.6253501940914,-3.11811359145771,-3.62439206219343,-3.98076954640194
873.333333333333,-2.80177394054608,-3.68773011238749,-3.68455775714355,-3.16332311291224,-3.6790221748921,-4.04220270613694
873.555555555556,-2.8420775806464,-3.74867319721215,-3.74576357858288,-3.21181270692572,-3.73971862025045,-4.10878404188036
873.777777777778,-2.88358600618512,-3.8119908274253,-3.80867412621863,-3.26393595199835,-3.80721377727793,-4.18114992912649
874,-2.92638720701464,-3.87694166117217,-3.87298711323044,-3.31984400771226,-3.88198876145125,-4.25983058055657
874.222222222222,-2.97058205071542,-3.94282605938087,-3.93841081670753,-3.37929053468929,-3.96410048351956,-4.3451422484881
874.444444444444,-3.01629125243838,-4.00907207963553,-4.00466144497121,-3.44140116779735,-4.05301367677685,-4.43705585035586
874.666666666667,-3.06366491726345,-4.07524427037871,-4.07144421159446,-3.5045000974297,-4.14749179595613,-4.53506054105577
874.888888888889,-3.11289350637228,-4.14101136773045,-4.13842507678923,-3.56615085821389,-4.24560619776534,-4.6380554046415
875.111111111111,-3.16421441509228,-4.20610464930663,-4.20520049600072,-3.62354902969157,-4.34490003701529,-4.74431270073292
875.333333333333,-3.21789559826184,-4.27028450538318,-4.27127435763291,-3.67422401134357,-4.44269155209777,-4.85155245815698
875.555555555556,-3.27414871887895,-4.3333218436389,-4.33605523008916,-3.71674576037828,-4.5364428822518,-4.95714365882671
875.777777777778,-3.33288006534886,-4.39499539719354,-4.39889103975586,-3.75104998597163,-4.624089651802,-5.05840535140721
876,-3.39320153826184,-4.45510366814896,-4.45915662054539,-3.7782344176342,-4.70424391135575,-5.15293937909648
876.222222222222,-3.45295034838493,-4.51348872623981,-4.51639387824738,-3.80002153634646,-4.77623744593329,-5.23890848585579
876.444444444444,-3.50917743939115,-4.57006708681124,-4.57047119930181,-3.81821219738768,-4.84003056259133,-5.31519192361448
876.666666666667,-3.56016970285127,-4.62486034160208,-4.6216927190494,-3.83433419491598,-4.89604463383012,-5.38139600200767
876.888888888889,-3.6069072574079,-4.67801613642842,-4.67078351253243,-3.8495104756647,-4.94497828270935,-5.43774464006807
877.111111111111,-3.65184567545753,-4.72981010523868,-4.71872820982418,-3.86447465224234,-4.9876487141005,-5.48490299300705
877.333333333333,-3.69691733367052,-4.78062263307529,-4.76652169668628,-3.87965223056442,-5.02487703177397,-5.52378938849393
877.555555555556,-3.74290095722023,-4.83089024558629,-4.8149355401587,-3.895254355792,-5.05741941168592,-5.55541530016142
877.777777777778,-3.78977309145635,-4.88103722483041,-4.86437693046243,-3.91136013090793,-5.08593741512533,-5.58077274922573
878,-3.83714669369828,-4.93139487584408,-4.91485056640585,-3.9279818884509,-5.11099891555653,-5.60077259000843
878.222222222222,-3.88451833857783,-4.98211106118572,-4.96598469014307,-3.94511642253875,-5.13310340193855,-5.61622890217182
878.444444444444,-3.93136865873427,-5.03304208703528,-5.01707602317237,-3.96278825996345,-5.15272976435335,-5.62788338119852
878.666666666667,-3.97719576058399,-5.08361112586025,-5.0671369465163,-3.98109173650444,-5.17041000287261,-5.63646692765422
878.888888888889,-4.02153044179191,-5.1326409404619,-5.11497906234861,-4.00023857115786,-5.18683812287702,-5.6428014109505
879.111111111111,-4.06395878672857,-5.17830061553505,-5.15943016037584,-4.02061715549919,-5.20302883613043,-5.64795079897351
879.333333333333,-4.10416660120131,-5.21863086642001,-5.19980898868008,-4.04286806473948,-5.22054213507507,-5.65343421371141
879.555555555556,-4.14201252499641,-5.25324406372278,-5.23662650833263,-4.06797485359611,-5.24177729624567,-5.66150624382043
879.777777777778,-4.17762363549966,-5.28524633183658,-5.27202365186845,-4.09735492118598,-5.27029013996114,-5.67547464924026
880,-4.2114832480637,-5.32001219535139,-5.30915793431864,-4.13290414072219,-5.31096137603805,-5.69993214733585
880.222222222222,-4.24445104707141,-5.36090893414448,-5.350584579159,-4.17689499667723,-5.36961897354281,-5.74060147630232
880.444444444444,-4.27764752889093,-5.40756077101214,-5.39701396839543,-4.23156693705857,-5.45152154960802,-5.80329371504971
