Freq [MHz],"dB(S(1,1)) []","dB(S(T1,T1)) []","dB(S(T2,T2)) []","dB(S(T3,T3)) []","dB(S(T4,T4)) []","dB(S(T5,T5)) []","dB(S(T6,T6)) []"
905.3333333,-14.82666204,-4.801519049,-4.540629617,-4.93475694,-4.297289817,-3.68112999,-3.562856559
905.5555556,-14.87498157,-4.993046734,-4.741467193,-5.142093396,-4.631874546,-3.92343861,-3.786989248
905.7777778,-14.92229862,-5.321029037,-5.071328064,-5.489380928,-5.092922807,-4.25985947,-4.099975216
906,-14.96886805,-5.80651007,-5.549320395,-5.999017291,-5.707008763,-4.708833357,-4.519038546
906.2222222,-15.01497911,-6.480987379,-6.20287207,-6.703964575,-6.507931862,-5.295676194,-5.067599696
906.4444444,-15.06097499,-7.38948261,-7.069325087,-7.65064807,-7.537341066,-6.053556839,-5.776209061
906.6666667,-15.10729799,-8.592980306,-8.195359222,-8.900611701,-8.841541686,-7.023066823,-6.682393106
906.8888889,-15.1545915,-10.16404708,-9.626878716,-10.52265688,-10.45190011,-8.246100489,-7.826198594
907.1111111,-15.20393185,-12.14327869,-11.36032315,-12.53412586,-12.30188755,-9.73929335,-9.230644547
907.3333333,-15.25725044,-14.31143083,-13.16188258,-14.62195423,-13.96561534,-11.40112374,-10.83325177
907.5555556,-15.31371912,-15.54953975,-14.20829484,-15.53354532,-14.42981028,-12.78152202,-12.30165506
907.7777778,-15.02295345,-14.54508641,-13.58791569,-14.26301855,-13.26030014,-13.03069394,-12.87744504
908,-15.18283852,-12.357676,-11.85461503,-12.07189325,-11.39735153,-11.93168482,-12.090648
908.2222222,-15.31605174,-10.26314278,-10.00385588,-10.04576794,-9.603760152,-10.2810472,-10.53145314
908.4444444,-15.38690961,-8.546894914,-8.396333338,-8.39122213,-8.082218357,-8.677545368,-8.898933731
908.6666667,-15.44387068,-7.184670306,-7.082497742,-7.075041907,-6.841851039,-7.303909302,-7.473692814
908.8888889,-15.49602344,-6.1092417,-6.029126818,-6.032930702,-5.844507636,-6.180676312,-6.30432658
909.1111111,-15.5461995,-5.258510117,-5.188618358,-5.206420709,-5.045629308,-5.276959682,-5.365280965
909.3333333,-15.59555933,-4.582854197,-4.517640736,-4.548717097,-4.405893157,-4.553328209,-4.615978766
909.5555556,-15.64466592,-4.043973829,-3.980671747,-4.023560128,-3.893067648,-3.974006098,-4.018186724
909.7777778,-15.69382445,-3.612573314,-3.54964122,-3.60310694,-3.481273134,-3.509517751,-3.54010183
910,-15.74321285,-3.266275894,-3.202697853,-3.266000763,-3.149604056,-3.13644925,-3.156436899
910.2222222,-15.7929395,-2.987936871,-2.92291356,-2.995766272,-2.880724441,-2.8363355,-2.84735259
910.4444444,-15.84307155,-2.76428128,-2.697121323,-2.779457138,-2.659833342,-2.594216718,-2.597083337
910.6666667,-15.89365003,-2.584755573,-2.514898478,-2.606457824,-2.474418209,-2.397043191,-2.392516127
910.8888889,-15.9446984,-2.440506289,-2.367661168,-2.467407521,-2.314849939,-2.23249807,-2.22204193
911.1111111,-15.99622785,-2.323492405,-2.247867827,-2.353394202,-2.175019405,-2.089585843,-2.075462962
911.3333333,-16.04824056,-2.225934078,-2.148443478,-2.255811635,-2.051964259,-1.961273566,-1.945514732
911.5555556,-16.10073192,-2.140492192,-2.06268634,-2.167240628,-1.944512321,-1.845862458,-1.829346948
911.7777778,-16.15369204,-2.061361114,-1.984882288,-2.082968767,-1.851942269,-1.744522995,-1.727307504
912,-16.20710687,-1.985587681,-1.911361915,-2.001812892,-1.773327847,-1.658044708,-1.640070748
912.2222222,-16.26095895,-1.913308613,-1.841102028,-1.925283076,-1.707466757,-1.58582297,-1.567146836
912.4444444,-16.31522804,-1.846494708,-1.775170288,-1.855756258,-1.65303777,-1.526388343,-1.507108886
912.6666667,-16.36989161,-1.787262079,-1.71539639,-1.795045491,-1.608760329,-1.47807073,-1.458250484
912.8888889,-16.42492516,-1.736891683,-1.663248436,-1.743934303,-1.57349021,-1.439351582,-1.418995974
913.1111111,-16.48030257,-1.695712226,-1.619407456,-1.702360915,-1.54625842,-1.408976353,-1.388044126
913.3333333,-16.53599632,-1.663404193,-1.58386885,-1.669783163,-1.526276195,-1.38595679,-1.364376857
913.5555556,-16.59197772,-1.639342641,-1.556220885,-1.645477755,-1.512924265,-1.369537579,-1.347222501
913.7777778,-16.64821708,-1.62283398,-1.535890558,-1.628721669,-1.50573717,-1.35915856,-1.336012884
914,-16.70468386,-1.613243358,-1.522299933,-1.618881692,-1.504388141,-1.35442287,-1.330347197
914.2222222,-16.76134681,-1.61004962,-1.514946931,-1.615449302,-1.508677013,-1.355073244,-1.329965296
914.4444444,-16.81817411,-1.61286162,-1.513439174,-1.618048199,-1.518522173,-1.360976075,-1.334729717
914.6666667,-16.87513346,-1.621417433,-1.517503646,-1.626430628,-1.533956915,-1.37211229,-1.344615141
914.8888889,-16.9321922,-1.635578181,-1.52698623,-1.640471003,-1.555130389,-1.388574285,-1.359704199
915.1111111,-16.99431691,-1.655322285,-1.541848813,-1.660161028,-1.582313411,-1.410568494,-1.380189027
915.3333333,-17.06256869,-1.6807429,-1.56216789,-1.685608334,-1.615909562,-1.43842361,-1.406378386
915.5555556,-17.13236585,-1.712049888,-1.588136689,-1.717039707,-1.656472264,-1.472604885,-1.438710637
915.7777778,-17.20378357,-1.749577167,-1.62007199,-1.754809683,-1.70472884,-1.513735332,-1.47777327
916,-17.27690309,-1.793796271,-1.658426592,-1.799415365,-1.761612851,-1.562625175,-1.524330153
916.2222222,-17.35181246,-1.845337208,-1.70380845,-1.851518601,-1.828306363,-1.620311326,-1.579358127
916.4444444,-17.42860736,-1.905018084,-1.757007826,-1.91197709,-1.90629395,-1.688109187,-1.644095013
916.6666667,-17.50739198,-1.973885566,-1.819034181,-1.981886543,-1.997430098,-1.76767949,-1.720101497
916.8888889,-17.58827981,-2.053268924,-1.891165013,-2.0626367,-2.1040207,-1.861112836,-1.809339313
917.1111111,-17.67139439,-2.144851167,-1.97500924,-2.155984697,-2.228916547,-1.971033635,-1.914267299
917.3333333,-17.75686957,-2.250761525,-2.072587866,-2.264149805,-2.375610176,-2.100721675,-2.037953759
917.5555556,-17.8448491,-2.373693807,-2.18643386,-2.389933498,-2.548313264,-2.254240787,-2.184195813
917.7777778,-17.93548471,-2.517054238,-2.319710442,-2.536866972,-2.751962955,-2.436544025,-2.357618566
918,-18.02893164,-2.685138132,-2.476339515,-2.709382197,-2.992049403,-2.653481751,-2.563688919
918.2222222,-18.12533972,-2.88332297,-2.661114845,-2.912987102,-3.274054505,-2.911551817,-2.808501933
918.4444444,-18.22483701,-3.118236895,-2.879737313,-3.154389414,-3.602123056,-3.217065957,-3.098052183
918.6666667,-18.3275016,-3.397797491,-3.13863307,-3.441435027,-3.976365806,-3.574129679,-3.436457519
918.8888889,-18.4333147,-3.730879639,-3.444268057,-3.782564562,-4.388083281,-3.980485667,-3.822286868
919.1111111,-18.54208664,-4.126101617,-3.801416279,-4.185182663,-4.812795812,-4.4202371,-4.242066325
919.3333333,-18.65334663,-4.588743061,-4.209486431,-4.651829301,-5.203568212,-4.854070799,-4.661292497
919.5555556,-18.76619264,-5.114180228,-4.655839287,-5.172518522,-5.492516292,-5.213249498,-5.017984775
