"Freq [MHz]","dB(S(1,1)) []","dB(S(can_1,can_1)) []","dB(S(can_2,can_2)) []","dB(S(can_3,can_3)) []","dB(S(can_4,can_4)) []","dB(S(can_5,can_5)) []","dB(S(can_6,can_6)) []","dB(S(T1,T1)) []","dB(S(T2,T2)) []","dB(S(T3,T3)) []","dB(S(T4,T4)) []","dB(S(T5,T5)) []","dB(S(T6,T6)) []"
931.555555555556,-19.3379663213083,-0.795216924570452,-0.870331069494021,-0.815979959532995,-0.932892248468068,-0.908884555212911,-0.888299413398624,-4.0082894670288,-3.34218784021795,-3.6907513947654,-3.95746091111913,-3.96532670951169,-4.38890142700051
931.777777777778,-19.2446523289019,-0.789639821949849,-0.863185039725882,-0.809394072854037,-0.932556089600488,-0.902969806145703,-0.882113028455903,-4.00377244139835,-3.30933696717172,-3.66245991294034,-3.95488558492893,-3.95898325187833,-4.39856912271916
932,-19.1479336582648,-0.784125791560789,-0.856066803081406,-0.802806045683768,-0.932096909524036,-0.897049361325753,-0.875891010379336,-3.99861140620968,-3.28311486027327,-3.63719700180151,-3.96236544316841,-3.96379520501726,-4.41387899307589
932.222222222222,-19.0476817846288,-0.778687288238027,-0.848982010486154,-0.796222876074057,-0.931378868792638,-0.891081138230976,-0.869608352404825,-3.99396510449714,-3.26480004075471,-3.61647957001543,-3.98103008105044,-3.9810365296649,-4.43685586038037
932.444444444444,-18.9436527673952,-0.773351224377416,-0.841936719262348,-0.789656469910626,-0.93020809329977,-0.885003824843254,-0.863232850881101,-3.99076076730426,-3.2551412059139,-3.60164942820363,-4.01011828532996,-4.00983941772439,-4.46859649155476
932.666666666667,-18.8355460869177,-0.768202530195219,-0.834938186411918,-0.783126149486154,-0.928354069407421,-0.878731886163112,-0.856722207444042,-3.98920934574202,-3.25364513466323,-3.59338226410326,-4.04536905981844,-4.04529173580612,-4.50799596706552
932.888888888889,-18.7232389011208,-0.763333956364058,-0.827997192645643,-0.776661898509121,-0.925637655024026,-0.872156398483481,-0.850019990099513,-3.98802674231698,-3.25753925914151,-3.59082500502008,-4.0774239944097,-4.07659399501689,-4.54992001563296
933.111111111111,-18.607253616255,-0.758769988679457,-0.821134108706024,-0.770307685314417,-0.922093316408345,-0.865162522933498,-0.843050438645506,-3.98352660137871,-3.26075724560466,-3.5904339840439,-4.0918260147045,-4.08732969404675,-4.58355473887286
933.333333333333,-18.4891673010129,-0.754489832693605,-0.814392921295076,-0.764122752593089,-0.91809725391791,-0.857677094799663,-0.83571366397362,-3.96929698481811,-3.25393992535046,-3.58514046949952,-4.07273347506677,-4.06039002271822,-4.59292849845626
933.555555555556,-18.3712409141863,-0.750458755681791,-0.807865534518331,-0.758176405036493,-0.914268557027033,-0.849743837948808,-0.827889632171402,-3.93767907307781,-3.22674350184709,-3.56521029190332,-4.0101943741375,-3.98668479024989,-4.56190950265169
933.777777777778,-18.2551712300921,-0.746635213149993,-0.801699126771168,-0.752530219411659,-0.911149641405502,-0.841577381143745,-0.819485203696404,-3.88342754747115,-3.1723760328072,-3.52184724127447,-3.90608617896827,-3.8709284792086,-4.48259844208119
934,-18.1412524435617,-0.742973315258039,-0.79598633531531,-0.747205901644394,-0.908964743553745,-0.833516328530306,-0.810624219117513,-3.80724636412185,-3.09146903837569,-3.4519625818741,-3.77314568725618,-3.72866520327329,-4.36061946152372
934.222222222222,-18.0287655606339,-0.739426765723026,-0.790559899148401,-0.742152330661134,-0.907642447840806,-0.825871168772044,-0.801999709284094,-3.71574600529962,-2.99185866309267,-3.36005476527366,-3.62810111996987,-3.57772920170118,-4.2119327317881
934.444444444444,-17.9168070104316,-0.735953027135094,-0.785115478592066,-0.737241689631653,-0.906976767201147,-0.818790044523595,-0.794534628742602,-3.61780712766699,-2.88458849588879,-3.25540912137792,-3.48506407413494,-3.4316813628957,-4.05442353434746
934.666666666667,-17.8047398278021,-0.732516270026526,-0.779552199012768,-0.73231262422088,-0.906756171295356,-0.812247042979955,-0.788707002397347,-3.52084155058177,-2.77970294215373,-3.14753277836802,-3.3528985099689,-3.29812246080064,-3.90152410220281
934.888888888889,-17.6939704674947,-0.728008354537489,-0.773787849810332,-0.726980371964037,-0.90710024623188,-0.8062019664662,-0.782944538953035,-3.41253818985105,-2.68349242780976,-3.02968378986114,-3.25079444256903,-3.17728246190201,-3.78423881109921
935.111111111111,-17.5824198682072,-0.723432916034292,-0.768085509744311,-0.721677240666526,-0.907493817773132,-0.80031812953354,-0.777162357383759,-3.31307321036172,-2.60003308376782,-2.92494412238257,-3.16175541271506,-3.07215904702378,-3.67930800141404
935.333333333333,-17.46998700309,-0.718916147579761,-0.762467235077962,-0.716442050206741,-0.90786863052432,-0.794587961205094,-0.771502160100693,-3.22546144813287,-2.52961691553738,-2.83550130361059,-3.08430943567169,-2.98320865178369,-3.5846816840091
935.555555555556,-17.3567715260368,-0.714477429096584,-0.756934619245677,-0.711275965370223,-0.908201117974432,-0.789024058299805,-0.765969121973339,-3.15084718683918,-2.47245407559775,-2.76172354233322,-3.01882712988267,-2.9106462932165,-3.50098803948323
935.777777777778,-17.2428689331289,-0.710144221033601,-0.751489071147569,-0.706180759727333,-0.908472834593187,-0.783639645437003,-0.760568918760024,-3.0904130159679,-2.42884901483773,-2.70402411142042,-2.96577534502567,-2.85475564771997,-3.42891481811794
936,-17.1283704230912,-0.705950180163079,-0.746131033160699,-0.70115908172466,-0.908669663130492,-0.778448000008686,-0.755307667097475,-3.04539567904818,-2.39923710472618,-2.66289230386874,-2.9257524185673,-2.81592280365969,-3.36924146238238
936.222222222222,-17.0133627705252,-0.701925934368942,-0.740858173560024,-0.696214821907588,-0.908781113695769,-0.773461567607221,-0.750191802454996,-3.01711303140858,-2.38423174801614,-2.63893466216888,-2.89953211404408,-2.79467899007471,-3.32287832593559
936.444444444444,-16.897928217353,-0.698079894960705,-0.735661385881769,-0.691353501406781,-0.90879970814929,-0.768690700845213,-0.745227866901299,-3.00700562549117,-2.38468576735773,-2.63292938278577,-2.88811921833409,-2.79175491196578,-3.29091516463211
936.666666666667,-16.7821443981954,-0.694376931844302,-0.73051640259645,-0.686582076639556,-0.908720440980958,-0.764141983253816,-0.740422169822581,-3.01669745750924,-2.40177243326209,-2.64589794498688,-2.89282090269916,-2.8081503932891,-3.27468188041925
936.888888888889,-16.666084335007,-0.69073696272098,-0.725368123240104,-0.681904868667127,-0.908540306384957,-0.759816164367588,-0.735780275599673,-3.04808187898587,-2.43709369635061,-2.67919966699169,-2.9153395255385,-2.84522455776986,-3.27582560236694
937.111111111111,-16.5498165736351,-0.687067255639675,-0.720109433244144,-0.677298070565798,-0.908257880263486,-0.755705842335474,-0.731306264842406,-3.10344080958555,-2.49282621795453,-2.73465723313572,-2.957894753671,-2.90481395572846,-3.29640970960355
937.333333333333,-16.4334056066556,-0.683305521626534,-0.714582323529605,-0.672572262738522,-0.907872945069764,-0.751793185117983,-0.727001714316691,-3.18560844236869,-2.57191978909881,-2.81472446469252,-3.02338594974023,-2.98938914197636,-3.33904250617189
937.555555555556,-16.3169128660638,-0.679437178589946,-0.708678777885451,-0.666924693584181,-0.907386144426509,-0.748048155182107,-0.722864352450414,-3.29819487557864,-2.67836753484236,-2.9227118680785,-3.11561004016668,-3.10226459802001,-3.407046182541
937.777777777778,-16.200398843902,-0.675482244699989,-0.702544571687924,-0.660254878838309,-0.906798653024664,-0.744427835913243,-0.718886383231835,-3.44589065785484,-2.81757177627434,-3.06309062852063,-3.23955593844667,-3.24788306177115,-3.50468077053901
938,-16.0839274491918,-0.671473621366813,-0.696567464389469,-0.655159873894369,-0.906111845078103,-0.740877461098653,-0.715052545338823,-3.63487961596243,-2.99682959213852,-3.24190057541502,-3.40180446882499,-3.43220386229278,-3.63744347449802
938.222222222222,-15.9675748309623,-0.667442685628647,-0.691022020355298,-0.650983940113568,-0.905326941158193,-0.737333534807033,-0.711338098234027,-3.87339219041278,-3.22594638810777,-3.46728825247599,-3.61107286635561,-3.66323627645037,-3.81247167980031
938.444444444444,-15.8514472112325,-0.663413953996085,-0.685906507419133,-0.646886958350661,-0.904444607997829,-0.73372897426508,-0.707707104387124,-4.17242715884823,-3.51792274406928,-3.75018599152128,-3.87895490170729,-3.95177317324705,-4.039089008763
938.666666666667,-15.7357170524323,-0.659404902418974,-0.681095677339769,-0.642754144226662,-0.903464478074436,-0.729999611565494,-0.704111580269172,-4.54663381883687,-3.88946824171044,-4.10508023357203,-4.22091909756312,-4.31239515762454,-4.3295493595789
938.888888888889,-15.6206964906947,-0.65542757570631,-0.6764767565746,-0.638601804984505,-0.902384544416486,-0.726090872965303,-0.700492244401175,-5.01521755545287,-4.3605754984874,-4.5506240220486,-4.65763055257427,-4.7648225736468,-4.70005606303192
939.111111111111,-15.5069843019587,-0.651490353891771,-0.67198021585732,-0.634452019954172,-0.901200369752025,-0.721963268087658,-0.69678157195318,-5.60233976887685,-4.95108632443901,-5.10931080953699,-5.21663345114944,-5.33566450283927,-5.17216571452815
939.333333333333,-15.3957427764237,-0.647599350562133,-0.66756890410229,-0.630319497827917,-0.899904026135989,-0.717595594606738,-0.692909529427234,-6.33537004475873,-5.66931639067623,-5.80402168962354,-5.93430087133333,-6.06046275412975,-5.77473457636994
939.555555555556,-15.2891236975599,-0.643759385876047,-0.663223964120443,-0.62621283681462,-0.898482649800484,-0.712985404897735,-0.68881164820567,-7.23633953759995,-6.48341159477761,-6.64589377112882,-6.85748973735334,-6.98536220311225,-6.54663396387061
939.777777777778,-15.1904897118602,-0.639974613586444,-0.658935673539199,-0.622136476598658,-0.896916455255572,-0.708147018667402,-0.684438148148114,-8.29471000538024,-7.26910940629446,-7.60169680473707,-8.04265354401296,-8.16569892649011,-7.54051788462107
940,-15.1028256924453,-0.636248890737979,-0.654698358377756,-0.618091919814143,-0.895176005033083,-0.703107909568218,-0.679762041535597,-9.39924273882872,-7.77621620558013,-8.52812771422991,-9.54377492998747,-9.6512465542859,-8.82768080824043
940.222222222222,-15.0233510107217,-0.632585951473974,-0.650507617176947,-0.614078342217329,-0.893218488705581,-0.697904490083767,-0.6747840283826,-10.2361345813518,-7.75471364753883,-9.11743581707379,-11.3561825808634,-11.4205776585748,-10.5016091281291
940.444444444444,-14.940686968561,-0.628989414326579,-0.646358677561311,-0.610092786799871,-0.890982761978274,-0.692578195225447,-0.669532786561287,-10.3607284762202,-7.21832113549937,-9.05180779819497,-13.2146125721163,-13.1613625095258,-12.661481080179
940.666666666667,-14.8454940022226,-0.625462623812888,-0.64224522530902,-0.60613005722187,-0.888383021486251,-0.687172465338292,-0.664060702462058,-9.67168511013052,-6.43227111382812,-8.36283649703043,-14.2366099255836,-13.9669468240888,-15.2573269757956
940.888888888889,-14.7390052247618,-0.622008303230717,-0.638158341025615,-0.602182361128788,-0.885301440309913,-0.681730908306333,-0.658436502977923,-8.56639724494931,-5.64530508591886,-7.39797562331905,-13.5861035974495,-13.1693025389678,-17.3294245637745
941.111111111111,-14.6268992729457,-0.618627976739192,-0.634085329052521,-0.598238715003994,-0.881581258188589,-0.676296683132312,-0.652736986899663,-7.45120877932178,-4.9746972579456,-6.45542907580155,-11.9386614680755,-11.5293588202469,-16.7649224043623
941.333333333333,-14.5132446794124,-0.615321107987289,-0.630008303786593,-0.594284105124316,-0.877024376920355,-0.670913021978863,-0.647039903691965,-6.50572149433615,-4.44555250362512,-5.66212045307417,-10.2464048605006,-9.90533989708821,-14.3944444652191
941.555555555556,-14.3998481254301,-0.612083906856787,-0.625902466584839,-0.590298406762261,-0.87140220884459,-0.665624777216043,-0.641419268256731,-5.76227432490911,-4.044229128249,-5.03876831353794,-8.83305471795783,-8.56902391599962,-12.10105426812
941.777777777778,-14.2872037823953,-0.608907788071161,-0.621734115497632,-0.586255110818708,-0.864495000347902,-0.660480896780678,-0.63594351086865,-5.19763197800004,-3.74701238538382,-4.56527834656606,-7.72100115846741,-7.53001862071379,-10.296489832263
942,-14.17519045084,-0.605777543533711,-0.617458649193795,-0.582120024913222,-0.856178103960092,-0.655537727462138,-0.630676200058471,-4.77594862738136,-3.53127570483069,-4.21231934083086,-6.86181482010993,-6.73695174301916,-8.92544474520138
942.222222222222,-14.0634134189054,-0.602669432755575,-0.613019247860395,-0.577850356028971,-0.8465589321257,-0.650862915338926,-0.625678742376106,-4.4639371081093,-3.37864986447906,-3.95284970363815,-6.20242106444629,-6.13557187604472,-7.88812133770531
942.444444444444,-13.9514278421344,-0.599549607899522,-0.608347625056289,-0.573395007242659,-0.836115878233224,-0.64653922333198,-0.621014335697692,-4.23480033492831,-3.27521572058389,-3.76514382165166,-5.69918019533348,-5.68139511951781,-7.10495016514296
