Freq [MHz],"dB(S(1,1)) []","dB(S(can_1,can_1)) []","dB(S(can_2,can_2)) []","dB(S(can_3,can_3)) []","dB(S(can_4,can_4)) []","dB(S(can_5,can_5)) []","dB(S(can_6,can_6)) []"
877.7777778,-13.8214518,-3.954579775,-5.092065181,-5.112687223,-4.084079896,-5.166321453,-5.429869071
878,-13.79681324,-4.000078357,-5.14508882,-5.166109021,-4.100627102,-5.197852089,-5.455473118
878.2222222,-13.77308974,-4.044642489,-5.197602413,-5.219060139,-4.126101352,-5.227979244,-5.478966576
878.4444444,-13.75046754,-4.088052934,-5.248943818,-5.270770274,-4.153723446,-5.254975307,-5.499063106
878.6666667,-13.72895031,-4.130032743,-5.298156661,-5.320303359,-4.177238313,-5.277711862,-5.514878002
878.8888889,-13.70848392,-4.170247821,-5.343984547,-5.366643366,-4.195761236,-5.296022252,-5.526272525
879.1111111,-13.68901449,-4.208325581,-5.385150878,-5.408958907,-4.211494988,-5.31104555,-5.534201676
879.3333333,-13.67050325,-4.243910471,-5.421275385,-5.447126216,-4.227249987,-5.325520162,-5.541059358
879.5555556,-13.65289244,-4.276779177,-5.454286402,-5.482354411,-4.245726844,-5.343918627,-5.550936172
879.7777778,-13.6359658,-4.307022398,-5.48858032,-5.51730771,-4.269559288,-5.372230432,-5.569603994
880,-13.61898889,-4.335240859,-5.528246689,-5.555105929,-4.301404919,-5.417133531,-5.603941841
880.2222222,-13.60029958,-4.362607604,-5.574094226,-5.59769173,-4.343790207,-5.484353347,-5.660521658
880.4444444,-13.57857057,-4.390621192,-5.624104157,-5.645019812,-4.398555783,-5.576369886,-5.743367481
880.6666667,-13.55626664,-4.420563519,-5.675678188,-5.695606693,-4.465889667,-5.690342751,-5.851583458
880.8888889,-13.53751163,-4.452986474,-5.726910681,-5.74757238,-4.543281339,-5.817688795,-5.978238804
881.1111111,-13.52327647,-4.487587976,-5.776703954,-5.79931838,-4.625176546,-5.946229489,-6.111704452
881.3333333,-13.512722,-4.52349225,-5.824497167,-5.849719351,-4.704090349,-6.064085605,-6.239153369
881.5555556,-13.5050672,-4.559651493,-5.870016334,-5.898058148,-4.772964691,-6.163105923,-6.350336033
