"Freq [MHz]","dB(S(1,1)) []","dB(S(T1,T1)) []","dB(S(T2,T2)) []","dB(S(T3,T3)) []","dB(S(T4,T4)) []","dB(S(T5,T5)) []","dB(S(T6,T6)) []"
877.555555555556,-12.6254545407753,-0.133544695486869,-0.128382986368507,-0.131455742538984,-0.12681215414909,-0.13393155269119,-0.126469451909342
877.777777777778,-12.5897283109485,-0.132458089875012,-0.126686546779983,-0.130682837208813,-0.129213192434491,-0.136830197954151,-0.12885082816748
878,-12.5542780713091,-0.131614651010478,-0.125292356010035,-0.130125068234633,-0.131828013413232,-0.139954447308934,-0.131429783787198
878.222222222222,-12.5191206897598,-0.130998462278449,-0.124177733077484,-0.129769597699442,-0.134668242964589,-0.143317264162114,-0.134215733524533
878.444444444444,-12.4842737666059,-0.13059589029232,-0.123322933221748,-0.129605530768661,-0.137747364810982,-0.146933381283711,-0.137219562481476
878.666666666667,-12.4497557834337,-0.1303953132158,-0.122710835877768,-0.129623686181654,-0.141080902818351,-0.150819480517608,-0.140453750434489
878.888888888889,-12.4155862116494,-0.130386889031275,-0.122326669050935,-0.129816401941031,-0.144686639254156,-0.154994404719539,-0.143932521168905
879.111111111111,-12.3817855926291,-0.130562358595099,-0.122157767841358,-0.130177371413904,-0.148584874691057,-0.159479406973609,-0.147672020424837
879.333333333333,-12.348375598052,-0.130914878874541,-0.122193364362849,-0.130701505659435,-0.152798736413876,-0.164298443158528,-0.151690526809207
879.555555555556,-12.3153790765482,-0.131438882331681,-0.122424406149922,-0.131384818373952,-0.157354543604992,-0.169478515156496,-0.156008700931944
879.777777777778,-12.2828200910242,-0.132129958967495,-0.122843400204388,-0.132224330375833,-0.162282239293165,-0.175050073455316,-0.160649879109508
880,-12.2507239497366,-0.132984758043936,-0.123444280011927,-0.133217991027902,-0.16761590110553,-0.181047489630083,-0.165640419277904
880.222222222222,-12.2191172332417,-0.134000906955571,-0.124222293099454,-0.134364614414519,-0.173394345319988,-0.187509611244515,-0.171010108305936
880.444444444444,-12.1880278186449,-0.135176945123592,-0.125173906970217,-0.135663828455715,-0.179661841636295,-0.19448041412528,-0.176792641736231
880.666666666667,-12.1574849020515,-0.136512271136642,-0.126296731523233,-0.137116035457669,-0.186468959523957,-0.202009769762726,-0.183026189141364
