"Freq [MHz]","dB(S(can_1,can_1)) []","dB(S(can_2,can_2)) []","dB(S(can_3,can_3)) []","dB(S(can_4,can_4)) []","dB(S(can_5,can_5)) []","dB(S(can_6,can_6)) []"
864.666666666667,-1.81911626374254,-2.24995167983948,-2.23443104674428,-1.67774632910642,-1.85964201498005,-1.9092569045133
864.888888888889,-1.84264744500613,-2.2854033035638,-2.26755361531996,-1.72077861110999,-1.88737833285177,-1.93590995006633
865.111111111111,-1.86617931734,-2.32065807940533,-2.30075350340763,-1.76248710770982,-1.91774116787995,-1.96505543096551
865.333333333333,-1.8896472153816,-2.35548077959759,-2.33406246795758,-1.80239420019595,-1.95134413159127,-1.99735761173587
865.555555555556,-1.91297915677384,-2.38985609873368,-2.36757233762737,-1.84225152528573,-1.98893386756581,-2.03364468103502
865.777777777778,-1.93610005554533,-2.42388741246277,-2.40148280937593,-1.88348527481923,-2.03139086686767,-2.07491568515882
866,-1.95893912547917,-2.45771222423499,-2.43614849407014,-1.92705173044972,-2.0797048002834,-2.12231629553373
866.222222222222,-1.98144116692785,-2.49146302690084,-2.47199537955649,-1.97360075176449,-2.13490514730961,-2.17705744932541
866.444444444444,-2.0035817096042,-2.52525595203396,-2.50908471880888,-2.02356813088901,-2.19792382268733,-2.24024549182248
866.666666666667,-2.02538453900187,-2.55919035917795,-2.54666414007491,-2.07719073642665,-2.26937112507493,-2.31260081987973
866.888888888889,-2.04693804933832,-2.59335131920065,-2.58374358839155,-2.13447247018806,-2.34923020450466,-2.39407985585377
867.111111111111,-2.06840483057011,-2.62781222577122,-2.62004061717762,-2.19512516188689,-2.43652698612842,-2.48349152589269
867.333333333333,-2.09001829893999,-2.66263689053913,-2.65587450524042,-2.25850934324457,-2.52910297482104,-2.5782898483558
867.555555555556,-2.11206251179772,-2.69788113283146,-2.69164665737681,-2.32360504683259,-2.62366233377021,-2.67475062040916
867.777777777778,-2.1348368087942,-2.73359400566883,-2.7276352874425,-2.38904497386841,-2.71621087474009,-2.76861297451771
868,-2.15861345525524,-2.76981878264609,-2.76400496235198,-2.45323284965741,-2.80282489464094,-2.85600487253293
868.222222222222,-2.18360023220002,-2.80659378887637,-2.80085366325311,-2.51454388697721,-2.88047657168584,-2.93426476852197
868.444444444444,-2.20991823832459,-2.84395312630911,-2.83824569041776,-2.5715683217721,-2.94757603153119,-3.00231868363886
868.666666666667,-2.23759889818144,-2.88192732329466,-2.87622928450789,-2.6233314588763,-3.00404527179277,-3.06054240273509
868.888888888889,-2.26659710547451,-2.92054392730329,-2.91484528381465,-2.66942427021563,-3.05099105202774,-3.11029770493488
869.111111111111,-2.29681322434356,-2.95982805473764,-2.95413127818395,-2.71001113177087,-3.09019962798269,-3.15340555134306
869.333333333333,-2.32811641662519,-2.99980291029953,-2.99412362641577,-2.74572771527699,-3.12366675218331,-3.19173360261335
