"Freq [MHz]","dB(S(1,1)) []","dB(S(T1,T1)) []","dB(S(T2,T2)) []","dB(S(T3,T3)) []","dB(S(T4,T4)) []","dB(S(T5,T5)) []","dB(S(T6,T6)) []"
867.555555555556,-14.0697601936116,-0.834888174960752,-0.768539728979911,-0.791283568159665,-0.839772414156503,-0.850720476496286,-0.812056946971853
867.777777777778,-14.0742585463508,-0.84124939156158,-0.770717163783005,-0.786842641431657,-0.828511876821694,-0.839573874185425,-0.799025033221692
868,-14.079518705889,-0.835741918634573,-0.763654927748848,-0.772066915553837,-0.805263466769638,-0.815456187113068,-0.776568509811197
868.222222222222,-14.0852591693849,-0.819617086121508,-0.748430157869367,-0.750738020187309,-0.778677928874596,-0.785870542814857,-0.751081048524998
868.444444444444,-14.0912150843722,-0.796926760969629,-0.728325910306544,-0.727535127233682,-0.7547051604128,-0.757342142984643,-0.727538630857481
868.666666666667,-14.0971486254155,-0.772599261423029,-0.707367899840756,-0.706199063354136,-0.735883215824086,-0.733573690571716,-0.708563594506164
868.888888888889,-14.1028542107062,-0.750581359999645,-0.688803975810265,-0.688861275995914,-0.7226409540396,-0.715847492371052,-0.69496665099249
869.111111111111,-14.1081598957862,-0.73313220147015,-0.674473420054311,-0.676308839860731,-0.714526942315975,-0.704088513627489,-0.686590009464926
869.333333333333,-14.1129262012691,-0.721080099968337,-0.664998720882259,-0.668532553955129,-0.710877119297291,-0.697685234633522,-0.68290894252034
869.555555555556,-14.1170434065705,-0.714393700305351,-0.660272982981258,-0.665175029772008,-0.711086482778773,-0.695929836174128,-0.683347174299269
869.777777777778,-14.1204280781436,-0.712662324119343,-0.659879724835817,-0.665796435715839,-0.714688820911331,-0.698202117150664,-0.68740808105065
870,-14.123019358108,-0.7153868355186,-0.663346966785621,-0.670001558070918,-0.721361238786479,-0.704023897613517,-0.694713324947435
870.222222222222,-14.1247753427379,-0.722121045795926,-0.670267792023778,-0.677487438389534,-0.730905740330924,-0.713059428447911,-0.705002595927747
870.444444444444,-14.1256697344906,-0.732525567314575,-0.680342921813523,-0.688052958481991,-0.743227984044378,-0.725098227046146,-0.718120560788116
870.666666666667,-14.125688850106,-0.746379056376826,-0.693386189300393,-0.701593319179955,-0.758319721634354,-0.740035602496025,-0.734002177424788
870.888888888889,-14.1248290009869,-0.763572364039341,-0.709315973128592,-0.718090536661409,-0.776246282506746,-0.757856332987989,-0.752660499006027
871.111111111111,-14.1230942205207,-0.784098182105509,-0.728143713618023,-0.737604768344662,-0.797138788812109,-0.778622890677059,-0.774178107020951
871.333333333333,-14.1204942873948,-0.808041716367401,-0.749964186660466,-0.760268269929394,-0.82119041861445,-0.802468132541505,-0.798702196904263
871.555555555556,-14.1170429769228,-0.835574506552079,-0.774949161732739,-0.786282495082044,-0.848656115727256,-0.829591982129064,-0.826443030100529
871.777777777778,-14.1127564576277,-0.866952038697902,-0.803344806234497,-0.81591838696373,-0.879855350918472,-0.860261650942593,-0.857675480376402
872,-14.1076517316214,-0.902515270370698,-0.835472786164139,-0.849519825722559,-0.915177761941008,-0.894815115091311,-0.892743536026123
872.222222222222,-14.1017449872549,-0.942696103560232,-0.871734981074638,-0.887510277489006,-0.95509171215846,-0.933667769746502,-0.932067794863564
872.444444444444,-14.0950496800688,-0.988026954240567,-0.912621861377153,-0.930402847991429,-1.00015601193645,-0.977322400395761,-0.976156182019164
872.666666666667,-14.087574064758,-1.03915477891217,-0.958724777923862,-0.978814145667466,-1.05103525625307,-1.02638283537471,-1.02561833201565
872.888888888889,-14.0793177333818,-1.09686019245001,-1.01075265807957,-1.0334826016366,-1.10851946285125,-1.08157189096041,-1.0811843180914
873.111111111111,-14.0702664124408,-1.16208264805635,-1.06955388919972,-1.09529218899809,-1.1735489670643,-1.14375450746762,-1.14372870180487
873.333333333333,-14.0603837259487,-1.2359530684767,-1.13614451499613,-1.16530285405891,-1.24724586501045,-1.21396732697414,-1.21430123941906
873.555555555556,-14.0495976855937,-1.31983585213946,-1.21174429851979,-1.24478944993605,-1.33095372426552,-1.29345641217466,-1.29416605113145
873.777777777778,-14.03777830933,-1.41538287845009,-1.29782275319996,-1.33529159390731,-1.42628783627491,-1.38372539298507,-1.38485167850805
874,-14.024702751272,-1.52460307356611,-1.39615795848876,-1.4386777169626,-1.53519901461757,-1.48659710874714,-1.48821528361093
874.222222222222,-14.0100209427462,-1.64995237155257,-1.50891192346038,-1.55722772571953,-1.66005490997612,-1.60429286555763,-1.60652536121469
874.444444444444,-13.9933891449189,-1.79445066007652,-1.63872752719254,-1.69374027895641,-1.80374409903334,-1.73953485594686,-1.74256885478884
874.666666666667,-13.9762992959697,-1.96183474734521,-1.78885376771914,-1.85167287453975,-1.96980992028929,-1.89567923902835,-1.89979064192082
