Freq [MHz],"dB(S(1,1)) []","dB(S(can_1,can_1)) []","dB(S(can_2,can_2)) []","dB(S(can_3,can_3)) []","dB(S(can_4,can_4)) []","dB(S(can_5,can_5)) []","dB(S(can_6,can_6)) []"
895.1111111,-12.94529911,-3.805442986,-4.853444812,-4.515728942,-4.062911874,-5.596827626,-5.28556317
895.3333333,-12.90459424,-3.758360254,-4.798964084,-4.460673881,-4.054621218,-5.603672943,-5.280834067
895.5555556,-12.86771985,-3.710369334,-4.744456813,-4.405892719,-4.043977844,-5.61060933,-5.277597013
895.7777778,-12.84203867,-3.662385654,-4.689958742,-4.351381932,-4.029452235,-5.616253564,-5.274525393
896,-12.86081848,-3.614866996,-4.635512984,-4.297144918,-4.010696899,-5.619155962,-5.270434973
896.2222222,-12.98965892,-3.56799572,-4.581164426,-4.243185722,-3.988166091,-5.617725646,-5.264222274
896.4444444,-13.11417874,-3.521816892,-4.526957321,-4.189502782,-3.962675391,-5.610179402,-5.254811612
896.6666667,-13.1331232,-3.476315107,-4.472934797,-4.136079804,-3.93505311,-5.594562792,-5.241114587
896.8888889,-13.12767744,-3.43145129,-4.419140369,-4.082866799,-3.905913598,-5.569001723,-5.222004696
897.1111111,-13.12956869,-3.387178275,-4.365623159,-4.029728321,-3.875521115,-5.532422033,-5.196310287
897.3333333,-13.14144722,-3.343446066,-4.312452948,-3.976260963,-3.843705196,-5.485268607,-5.162830368
897.5555556,-13.16127204,-3.300202406,-4.259767696,-3.921221181,-3.809808803,-5.428329844,-5.120378877
897.7777778,-13.18691129,-3.257391618,-4.207963918,-3.897260937,-3.77268227,-5.360523279,-5.067863035
898,-13.21669679,-3.214953902,-4.158934392,-3.834158621,-3.730769487,-5.279754031,-5.004398903
898.2222222,-13.24937467,-3.172828004,-4.153311242,-3.780326307,-3.682351391,-5.185087368,-4.929460973
898.4444444,-13.28400658,-3.130962602,-4.038238015,-3.728776536,-3.62598367,-5.077265871,-4.843051737
898.6666667,-13.31989523,-3.089345426,-3.987863915,-3.678088089,-3.561060504,-4.958332073,-4.745862723
898.8888889,-13.35653468,-3.048059867,-3.935952151,-3.62786314,-3.488283425,-4.831243009,-4.639384663
899.1111111,-13.39357815,-3.007361538,-3.883142577,-3.577918232,-3.409745674,-4.699557142,-4.525918616
899.3333333,-13.4308182,-2.967710847,-3.829650032,-3.528142252,-3.328496894,-4.567114133,-4.408450418
899.5555556,-13.46817588,-2.929638839,-3.775528922,-3.478472897,-3.247768624,-4.437686993,-4.290381457
