"Freq [MHz]","dB(S(can_1,can_1)) []","dB(S(can_2,can_2)) []","dB(S(can_3,can_3)) []","dB(S(can_4,can_4)) []","dB(S(can_5,can_5)) []","dB(S(can_6,can_6)) []","dB(S(T1,T1)) []","dB(S(T2,T2)) []","dB(S(T3,T3)) []","dB(S(T4,T4)) []","dB(S(T5,T5)) []","dB(S(T6,T6)) []"
927.777777777778,-0.86010686185749,-0.885562211064176,-0.959077543943155,-0.92562690161473,-0.956417280911098,-1.01308754006837,-3.83738800697736,-3.55423037955412,-3.72057443468067,-3.49424678216009,-3.2375470093777,-3.16341917831326
928,-0.854428463187816,-0.879026078257577,-0.95286486612316,-0.924430608982605,-0.950040322088674,-1.00610018702414,-3.87161537681427,-3.6120139684606,-3.75776034462376,-3.55300087280564,-3.31229265292474,-3.23995095603255
928.222222222222,-0.848713521782167,-0.872514101658482,-0.94665744206802,-0.923376407521792,-0.943807977926578,-0.999249142844973,-3.90157360324034,-3.6676355838257,-3.79133237981225,-3.6097142317065,-3.38716038787853,-3.31703628009138
928.444444444444,-0.842970310609303,-0.866025778406973,-0.94045530400276,-0.92244745976459,-0.937714053138053,-0.992527245160666,-3.92687634878815,-3.72060248524333,-3.82092125758529,-3.66395462136158,-3.46175762111914,-3.3943109137551
928.666666666667,-0.837208255103389,-0.859561011499256,-0.934258846372157,-0.92162948466455,-0.931752977415588,-0.985928163624586,-3.94719938203752,-3.77043044260571,-3.84620485107164,-3.71530047603542,-3.53566782868444,-3.47138192414772
928.888888888889,-0.831437041767142,-0.85311997475684,-0.928068688790834,-0.920910570798245,-0.925919714680855,-0.979446266098789,-3.96228761725965,-3.81665120809348,-3.86691452581835,-3.76334691427169,-3.60845239723297,-3.54782805622656
929.111111111111,-0.825665961191396,-0.846703012728695,-0.921885577833152,-0.920280885256691,-0.920209687731466,-0.973076509068631,-3.97196081721236,-3.85882091215154,-3.88284075674535,-3.80771222067293,-3.67965383447576,-3.62320141535239
929.333333333333,-0.819903485536119,-0.840310567620825,-0.91571031779717,-0.919732352738978,-0.914618715359721,-0.966814347562768,-3.97611751121917,-3.89652903918729,-3.89383763412693,-3.84804453471417,-3.74880043350041,-3.69703061336165
929.555555555556,-0.814157044852095,-0.833943126849473,-0.909543722855589,-0.919258347721865,-0.909142959634014,-0.960655660832085,-3.97473679031742,-3.92940757345815,-3.89982592513437,-3.88402845164182,-3.81541242615771,-3.76882550242851
929.777777777778,-0.808432952850897,-0.827601186147752,-0.903386584843878,-0.91885342057928,-0.903778881506035,-0.954596690806065,-3.96787777956128,-3.95713985748031,-3.90079444053951,-3.91539122182843,-3.87900959123891,-3.8380835679865
930,-0.802736433446177,-0.821285224280554,-0.89723965237603,-0.918513064883433,-0.898523203274146,-0.948633990946132,-3.95567674265013,-3.97946868318917,-3.89679955914809,-3.94190823464771,-3.93912019579821,-3.90429797533355
